,name,id,nametype,recclass,mass,fall,year,reclat,reclong,coordinates,locations,locations2
253,Doroninsk,7718,Valid,H5-7,3891.0,Fell,1805-01-01T00:00:00.000,51.2,112.3,"[112.3, 51.2]",Russia,Russia
257,Drake Creek,7728,Valid,L6,5000.0,Fell,1827-01-01T00:00:00.000,36.4,-86.5,"[-86.5, 36.4]",United States,United States
261,Dundrum,7745,Valid,H5,2270.0,Fell,1865-01-01T00:00:00.000,52.55,-8.03333,"[-8.03333, 52.55]",Ireland,Ireland
265,Duwun,7754,Valid,L6,2117.0,Fell,1943-01-01T00:00:00.000,33.43333,127.26667,"[127.26667, 33.43333]",NaN,NaN
266,Dwaleni,7755,Valid,H4-6,3230.0,Fell,1970-01-01T00:00:00.000,-27.2,31.31667,"[31.31667, -27.2]",Eswatini,Eswatini
270,Ehole,7774,Valid,H5,2400.0,Fell,1961-01-01T00:00:00.000,-17.3,15.83333,"[15.83333, -17.3]",Angola,Angola
271,Eichstädt,7775,Valid,H5,3000.0,Fell,1785-01-01T00:00:00.000,48.9,11.21667,"[11.21667, 48.9]",Germany,Germany
272,Ekeby,7776,Valid,H4,3336.0,Fell,1939-01-01T00:00:00.000,56.03333,13.0,"[13, 56.03333]",Sweden,Sweden
276,El Tigre,7819,Valid,L6,5000.0,Fell,1993-01-01T00:00:00.000,19.96722,-103.05167,"[-103.05167, 19.96722]",Mexico,Mexico
282,Enshi,10038,Valid,H5,8000.0,Fell,1974-01-01T00:00:00.000,30.3,109.5,"[109.5, 30.3]",China,China
288,Erxleben,10049,Valid,H6,2250.0,Fell,1812-01-01T00:00:00.000,52.21667,11.25,"[11.25, 52.21667]",Germany,Germany
295,Fayetteville,10079,Valid,H4,2360.0,Fell,1934-01-01T00:00:00.000,36.05,-94.16667,"[-94.16667, 36.05]",United States,United States
297,Felix,10081,Valid,CO3.3,3200.0,Fell,1900-01-01T00:00:00.000,32.53333,-87.16667,"[-87.16667, 32.53333]",United States,United States
302,Florence,10111,Valid,H3,3640.0,Fell,1922-01-01T00:00:00.000,30.83333,-97.76667,"[-97.76667, 30.83333]",United States,United States
