,name,id,nametype,recclass,mass,fall,year,reclat,reclong,coordinates,locations,locations2
301,Fisher,10107,Valid,L6,17600.0,Fell,1894-01-01T00:00:00.000,47.81667,-96.85,"[-96.85, 47.81667]",United States,United States
303,Forest City,10119,Valid,H5,152000.0,Fell,1890-01-01T00:00:00.000,43.25,-93.66667,"[-93.66667, 43.25]",United States,United States
304,Forest Vale,10120,Valid,H4,26000.0,Fell,1942-01-01T00:00:00.000,-33.35,146.85833,"[146.85833, -33.35]",Australia,Australia
307,Forsyth,10164,Valid,L6,16300.0,Fell,1829-01-01T00:00:00.000,33.01667,-83.96667,"[-83.96667, 33.01667]",United States,United States
310,Fuhe,52412,Valid,L5,23000.0,Fell,1945-01-01T00:00:00.000,31.47556,113.56694,"[113.56694, 31.47556]",中国,中国
311,Fukutomi,10836,Valid,L5,11620.0,Fell,1882-01-01T00:00:00.000,33.18333,130.2,"[130.2, 33.18333]",日本,日本
326,Gifu,10914,Valid,L6,14290.0,Fell,1909-01-01T00:00:00.000,35.53333,136.88333,"[136.88333, 35.53333]",日本,日本
327,Girgenti,10917,Valid,L6,18000.0,Fell,1853-01-01T00:00:00.000,37.31667,13.56667,"[13.56667, 37.31667]",Italia,Italia
331,Glasatovo,10926,Valid,H4,152000.0,Fell,1918-01-01T00:00:00.000,57.35,37.61667,"[37.61667, 57.35]",Россия,Россия
340,Gross-Divina,11207,Valid,H5,10500.0,Fell,1837-01-01T00:00:00.000,49.26667,18.71667,"[18.71667, 49.26667]",Slovensko,Slovensko
344,Gualeguaychú,11432,Valid,H6,22000.0,Fell,1932-01-01T00:00:00.000,-33.0,-58.61667,"[-58.61667, -33]",Argentina,Argentina
348,Guareña,11439,Valid,H6,39000.0,Fell,1892-01-01T00:00:00.000,38.73333,-6.01667,"[-6.01667, 38.73333]",España,España
353,Gujba,11449,Valid,CBa,100000.0,Fell,1984-01-01T00:00:00.000,11.49167,11.65833,"[11.65833, 11.49167]",Nigeria,Nigeria
356,Gursum,11465,Valid,H4/5,34650.0,Fell,1981-01-01T00:00:00.000,9.36667,42.41667,"[42.41667, 9.36667]",ኢትዮጵያ,ኢትዮጵያ
369,Hatford,11855,Valid,Stone-uncl,29000.0,Fell,1628-01-01T00:00:00.000,51.65,-1.51667,"[-1.51667, 51.65]",United Kingdom,United Kingdom
374,Hessle,11878,Valid,H5,20000.0,Fell,1869-01-01T00:00:00.000,59.85,17.66667,"[17.66667, 59.85]",Sverige,Sverige
380,Holbrook,11894,Valid,L/LL6,220000.0,Fell,1912-01-01T00:00:00.000,34.9,-110.18333,"[-110.18333, 34.9]",United States,United States
382,Homestead,11901,Valid,L5,230000.0,Fell,1875-01-01T00:00:00.000,41.8,-91.86667,"[-91.86667, 41.8]",United States,United States
386,Hraschina,11916,Valid,"Iron, IID",49000.0,Fell,1751-01-01T00:00:00.000,46.1,16.33333,"[16.33333, 46.1]",Hrvatska,Hrvatska
389,Hvittis,11989,Valid,EL6,14000.0,Fell,1901-01-01T00:00:00.000,61.18333,22.68333,"[22.68333, 61.18333]",Suomi / Finland,Suomi / Finland
397,Indarch,12027,Valid,EH4,27000.0,Fell,1891-01-01T00:00:00.000,39.75,46.66667,"[46.66667, 39.75]",Azərbaycan,Azərbaycan
407,Jackalsfontein,12065,Valid,L6,48000.0,Fell,1903-01-01T00:00:00.000,-32.5,21.9,"[21.9, -32.5]",South Africa,South Africa
412,Jartai,12074,Valid,L6,20500.0,Fell,1979-01-01T00:00:00.000,39.7,105.8,"[105.8, 39.7]",中国,中国
413,Jelica,12078,Valid,LL6,34000.0,Fell,1889-01-01T00:00:00.000,43.83333,20.44167,"[20.44167, 43.83333]",Србија,Србија
418,Jianshi,12087,Valid,"Iron, IIIAB",600000.0,Fell,1890-01-01T00:00:00.000,30.80833,109.5,"[109.5, 30.80833]",中国,中国
419,Jilin,12171,Valid,H5,4000000.0,Fell,1976-01-01T00:00:00.000,44.05,126.16667,"[126.16667, 44.05]",中国,中国
422,Johnstown,12198,Valid,Diogenite,40300.0,Fell,1924-01-01T00:00:00.000,40.35,-104.9,"[-104.9, 40.35]",United States,United States
425,Juancheng,12203,Valid,H5,100000.0,Fell,1997-01-01T00:00:00.000,35.5,115.41667,"[115.41667, 35.5]",中国,中国
427,Jumapalo,12209,Valid,L6,32490.0,Fell,1984-01-01T00:00:00.000,-7.71667,111.2,"[111.2, -7.71667]",Indonesia,Indonesia
429,Juromenha,12213,Valid,"Iron, IIIAB",25250.0,Fell,1968-01-01T00:00:00.000,38.74028,-7.27,"[-7.27, 38.74028]",Portugal,Portugal
430,Juvinas,12214,Valid,Eucrite-mmict,91000.0,Fell,1821-01-01T00:00:00.000,44.71667,4.3,"[4.3, 44.71667]",France,France
432,Kabo,12220,Valid,H4,13400.0,Fell,1971-01-01T00:00:00.000,11.85,8.21667,"[8.21667, 11.85]",Nigeria,Nigeria
437,Kainsaz,12229,Valid,CO3.2,200000.0,Fell,1937-01-01T00:00:00.000,55.43333,53.25,"[53.25, 55.43333]",Россия,Россия
448,Kapoeta,12251,Valid,Howardite,11355.0,Fell,1942-01-01T00:00:00.000,4.7,33.63333,"[33.63333, 4.7]",South Sudan,South Sudan
454,Karkh,12262,Valid,L6,22000.0,Fell,1905-01-01T00:00:00.000,27.8,67.16667,"[67.16667, 27.8]",پاکستان,پاکستان
456,Karoonda,12264,Valid,CK4,41730.0,Fell,1930-01-01T00:00:00.000,-35.08333,139.91667,"[139.91667, -35.08333]",Australia,Australia
458,Kasauli,30740,Valid,H4,16820.0,Fell,2003-01-01T00:00:00.000,29.58333,77.58333,"[77.58333, 29.58333]",India,India
