,name,id,nametype,recclass,mass,fall,year,reclat,reclong,coordinates,locations,locations2
861,Rose City,22766,Valid,H5,10600.0,Fell,1921-01-01T00:00:00.000,44.51667,-83.95,"[-83.95, 44.51667]",United States,United States
866,Ryechki,22791,Valid,L5,13000.0,Fell,1914-01-01T00:00:00.000,51.13333,34.5,"[34.5, 51.13333]",Україна,Україна
870,Saint-Sauveur,23101,Valid,EH5,14000.0,Fell,1914-01-01T00:00:00.000,43.73333,1.38333,"[1.38333, 43.73333]",France,France
871,Saint-Séverin,23102,Valid,LL6,271000.0,Fell,1966-01-01T00:00:00.000,45.3,0.23333,"[0.23333, 45.3]",France,France
886,Saratov,23176,Valid,L4,200000.0,Fell,1918-01-01T00:00:00.000,52.55,46.55,"[46.55, 52.55]",Россия,Россия
903,Seoni,23500,Valid,H6,20000.0,Fell,1966-01-01T00:00:00.000,21.68389,79.50083,"[79.50083, 21.68389]",India,India
908,Sevrukovo,23509,Valid,L5,101000.0,Fell,1874-01-01T00:00:00.000,50.61667,36.6,"[36.6, 50.61667]",Россия,Россия
912,Shelburne,23529,Valid,L5,18600.0,Fell,1904-01-01T00:00:00.000,44.05,-80.16667,"[-80.16667, 44.05]",Canada,Canada
929,Sivas,23617,Valid,H6,40000.0,Fell,1989-01-01T00:00:00.000,39.82467,36.13583,"[36.13583, 39.82467]",Türkiye,Türkiye
935,Soko-Banja,23661,Valid,LL4,80000.0,Fell,1877-01-01T00:00:00.000,43.66667,21.86667,"[21.86667, 43.66667]",Србија,Србија
938,Sone,23667,Valid,H5,17100.0,Fell,1866-01-01T00:00:00.000,35.16667,135.33333,"[135.33333, 35.16667]",日本,日本
939,Songyuan,23668,Valid,L6,36900.0,Fell,1993-01-01T00:00:00.000,45.25,125.0,"[125, 45.25]",中国,中国
947,St. Mark's,23090,Valid,EH5,13780.0,Fell,1903-01-01T00:00:00.000,-32.01667,27.41667,"[27.41667, -32.01667]",South Africa,South Africa
950,St. Michel,23093,Valid,L6,17000.0,Fell,1910-01-01T00:00:00.000,61.65,27.2,"[27.2, 61.65]",Suomi / Finland,Suomi / Finland
952,Ställdalen,23712,Valid,H5,34000.0,Fell,1876-01-01T00:00:00.000,59.93333,14.95,"[14.95, 59.93333]",Sverige,Sverige
953,Stannern,23713,Valid,Eucrite-mmict,52000.0,Fell,1808-01-01T00:00:00.000,49.28333,15.56667,"[15.56667, 49.28333]",Česko,Česko
956,Sterlitamak,23724,Valid,"Iron, IIIAB",325000.0,Fell,1990-01-01T00:00:00.000,53.66667,55.98333,"[55.98333, 53.66667]",Россия,Россия
959,Strathmore,23729,Valid,L6,13400.0,Fell,1917-01-01T00:00:00.000,56.58333,-3.25,"[-3.25, 56.58333]",United Kingdom,United Kingdom
960,Stretchleigh,23732,Valid,Stone-uncl,10400.0,Fell,1623-01-01T00:00:00.000,50.38333,-3.95,"[-3.95, 50.38333]",United Kingdom,United Kingdom
961,St-Robert,23733,Valid,H5,25400.0,Fell,1994-01-01T00:00:00.000,45.96861,-72.97806,"[-72.97806, 45.96861]",Canada,Canada
964,Suizhou,23738,Valid,L6,260000.0,Fell,1986-01-01T00:00:00.000,31.61667,113.46667,"[113.46667, 31.61667]",中国,中国
965,Sulagiri,48951,Valid,LL6,110000.0,Fell,2008-01-01T00:00:00.000,12.66667,78.03333,"[78.03333, 12.66667]",India,India
977,Tambakwatu,23795,Valid,L6,10500.0,Fell,1975-01-01T00:00:00.000,-7.75,112.76667,"[112.76667, -7.75]",Indonesia,Indonesia
978,Tamdakht,48691,Valid,H5,100000.0,Fell,2008-01-01T00:00:00.000,31.16333,-7.015,"[-7.015, 31.16333]",Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب,Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
981,Tatahouine,23884,Valid,Diogenite,12000.0,Fell,1931-01-01T00:00:00.000,32.95,10.41667,"[10.41667, 32.95]",تونس,تونس
984,Tauti,23888,Valid,L6,21000.0,Fell,1937-01-01T00:00:00.000,46.71667,23.5,"[23.5, 46.71667]",România,România
985,Tenham,23897,Valid,L6,160000.0,Fell,1879-01-01T00:00:00.000,-25.73333,142.95,"[142.95, -25.73333]",Australia,Australia
986,Tennasilm,23898,Valid,L4,28500.0,Fell,1872-01-01T00:00:00.000,58.03333,26.95,"[26.95, 58.03333]",Eesti,Eesti
988,Thika,54493,Valid,L6,14200.0,Fell,2011-01-01T00:00:00.000,-1.00278,37.15028,"[37.15028, -1.00278]",Kenya,Kenya
989,Thuathe,23976,Valid,H4/5,45300.0,Fell,2002-01-01T00:00:00.000,-29.33333,27.58333,"[27.58333, -29.33333]",Lesotho,Lesotho
991,Tieschitz,23989,Valid,H/L3.6,28000.0,Fell,1878-01-01T00:00:00.000,49.6,17.11667,"[17.11667, 49.6]",Česko,Česko
992,Tilden,23998,Valid,L6,74800.0,Fell,1927-01-01T00:00:00.000,38.2,-89.68333,"[-89.68333, 38.2]",United States,United States
994,Timochin,24004,Valid,H5,65500.0,Fell,1807-01-01T00:00:00.000,54.5,35.2,"[35.2, 54.5]",Россия,Россия
997,Tjabe,24011,Valid,H6,20000.0,Fell,1869-01-01T00:00:00.000,-7.08333,111.53333,"[111.53333, -7.08333]",Indonesia,Indonesia
998,Tjerebon,24012,Valid,L5,16500.0,Fell,1922-01-01T00:00:00.000,-6.66667,106.58333,"[106.58333, -6.66667]",Indonesia,Indonesia
