,name,id,nametype,recclass,mass,fall,year,reclat,reclong,coordinates,locations,locations2
575,Malaga,15393,Valid,OC,150.0,Fell,1933-01-01T00:00:00.000,32.21667,-104.0,"[-104, 32.21667]",United States,United States
577,Malampaka,15395,Valid,H,470.0,Fell,1930-01-01T00:00:00.000,-3.13333,33.51667,"[33.51667, -3.13333]",Tanzania,Tanzania
579,Malvern,15400,Valid,Eucrite-pmict,807.0,Fell,1933-01-01T00:00:00.000,-29.45,26.76667,"[26.76667, -29.45]",South Africa,South Africa
580,Mamra Springs,15401,Valid,L6,1000.0,Fell,1927-01-01T00:00:00.000,45.21667,62.08333,"[62.08333, 45.21667]",Kazakhstan,Kazakhstan
581,Manbhoom,15402,Valid,LL6,1700.0,Fell,1863-01-01T00:00:00.000,23.05,86.7,"[86.7, 23.05]",India,India
582,Manegaon,15403,Valid,Diogenite,50.0,Fell,1843-01-01T00:00:00.000,20.96667,76.1,"[76.1, 20.96667]",India,India
586,Maria Linden,15418,Valid,L4,114.0,Fell,1925-01-01T00:00:00.000,,,,NaN,NaN
587,Mariaville,15419,Valid,Iron,340.0,Fell,1898-01-01T00:00:00.000,42.71667,-99.38333,"[-99.38333, 42.71667]",United States,United States
595,Maryville,15436,Valid,L6,1443.0,Fell,1983-01-01T00:00:00.000,35.8,-84.1,"[-84.1, 35.8]",United States,United States
596,Mascombes,15438,Valid,L6,1000.0,Fell,1836-01-01T00:00:00.000,45.36667,1.86667,"[1.86667, 45.36667]",France,France
598,Mässing,15443,Valid,Howardite,1600.0,Fell,1803-01-01T00:00:00.000,48.13333,12.61667,"[12.61667, 48.13333]",Germany,Germany
600,Mauritius,15447,Valid,L6,220.0,Fell,1801-01-01T00:00:00.000,-20.0,57.0,"[57, -20]",NaN,NaN
605,Medanitos,15467,Valid,Eucrite-cm,31.0,Fell,1953-01-01T00:00:00.000,-27.25,-67.5,"[-67.5, -27.25]",Argentina,Argentina
606,Meerut,15469,Valid,H5,22.0,Fell,1861-01-01T00:00:00.000,29.01667,77.8,"[77.8, 29.01667]",India,India
614,Meuselbach,16626,Valid,L6,870.0,Fell,1897-01-01T00:00:00.000,50.58333,11.1,"[11.1, 50.58333]",Germany,Germany
615,Mezel,16627,Valid,L6,1300.0,Fell,1949-01-01T00:00:00.000,45.76667,3.25,"[3.25, 45.76667]",France,France
617,Mhow,16629,Valid,L6,350.0,Fell,1827-01-01T00:00:00.000,25.9,83.61667,"[83.61667, 25.9]",India,India
618,Mianchi,16631,Valid,H5,1100.0,Fell,1980-01-01T00:00:00.000,34.8,111.7,"[111.7, 34.8]",China,China
619,Middlesbrough,16632,Valid,L6,1600.0,Fell,1881-01-01T00:00:00.000,54.56667,-1.16667,"[-1.16667, 54.56667]",United Kingdom,United Kingdom
627,Minamino,16692,Valid,L,1040.0,Fell,1632-01-01T00:00:00.000,35.07833,136.93333,"[136.93333, 35.07833]",Japan,Japan
628,Mineo,16696,Valid,Pallasite,42.0,Fell,1826-01-01T00:00:00.000,37.28333,14.7,"[14.7, 37.28333]",Italy,Italy
630,Minnichhof,16700,Valid,OC,550.0,Fell,1905-01-01T00:00:00.000,47.7,16.6,"[16.6, 47.7]",Hungary,Hungary
638,Molteno,16717,Valid,Howardite,150.0,Fell,1953-01-01T00:00:00.000,-31.25,26.46667,"[26.46667, -31.25]",South Africa,South Africa
644,Montlivault,16729,Valid,L6,500.0,Fell,1838-01-01T00:00:00.000,47.63333,1.58333,"[1.5833300000000001, 47.63333]",France,France
646,Moore County,16736,Valid,Eucrite-cm,1880.0,Fell,1913-01-01T00:00:00.000,35.41667,-79.38333,"[-79.38333, 35.41667]",United States,United States
649,Moradabad,16740,Valid,L6,70.0,Fell,1808-01-01T00:00:00.000,28.78333,78.83333,"[78.83333, 28.78333]",India,India
650,Morávka,16742,Valid,H5,633.0,Fell,2000-01-01T00:00:00.000,49.6,18.53333,"[18.53333, 49.6]",Czechia,Czechia
651,Mornans,16747,Valid,H5,1300.0,Fell,1875-01-01T00:00:00.000,44.6,5.13333,"[5.13333, 44.6]",France,France
653,Moti-ka-nagla,16759,Valid,H6,1500.0,Fell,1868-01-01T00:00:00.000,26.83333,77.33333,"[77.33333, 26.83333]",India,India
658,Mtola,16820,Valid,Stone-uncl,1100.0,Fell,1944-01-01T00:00:00.000,-11.5,33.5,"[33.5, -11.5]",Malawi,Malawi
664,Muzaffarpur,16885,Valid,"Iron, IAB-sHL",1245.0,Fell,1964-01-01T00:00:00.000,26.13333,85.53333,"[85.53333, 26.13333]",India,India
667,Nagai,16890,Valid,L6,1810.0,Fell,1922-01-01T00:00:00.000,38.12167,140.06167,"[140.06167, 38.12167]",Japan,Japan
668,Nagaria,16892,Valid,Eucrite-cm,20.0,Fell,1875-01-01T00:00:00.000,26.98333,78.21667,"[78.21667, 26.98333]",India,India
675,Nantong,16907,Valid,H6,529.0,Fell,1984-01-01T00:00:00.000,32.11667,121.8,"[121.8, 32.11667]",China,China
680,Nassirah,16922,Valid,H4,347.0,Fell,1936-01-01T00:00:00.000,-21.73333,165.9,"[165.9, -21.73333]",France,France
682,Nawapali,16927,Valid,CM2,105.0,Fell,1890-01-01T00:00:00.000,21.25,83.66667,"[83.66667, 21.25]",India,India
683,Neagari,16934,Valid,L6,420.0,Fell,1995-01-01T00:00:00.000,36.44917,136.46528,"[136.46528, 36.44917]",Japan,Japan
691,Ngawi,16966,Valid,LL3.6,1393.0,Fell,1883-01-01T00:00:00.000,-7.45,111.41667,"[111.41667, -7.45]",Indonesia,Indonesia
700,Nio,16982,Valid,H3-4,467.0,Fell,1897-01-01T00:00:00.000,34.2,131.56667,"[131.56667, 34.2]",Japan,Japan
704,Nogata,16988,Valid,L6,472.0,Fell,0861-01-01T00:00:00.000,33.725,130.75,"[130.75, 33.725]",Japan,Japan
706,Norfork,16994,Valid,"Iron, IIIAB",1050.0,Fell,1918-01-01T00:00:00.000,36.21667,-92.26667,"[-92.26667, 36.21667]",United States,United States
708,Noventa Vicentina,17930,Valid,H4,177.0,Fell,1971-01-01T00:00:00.000,45.29167,11.52722,"[11.52722, 45.29167]",Italy,Italy
709,Novo-Urei,17933,Valid,Ureilite,1900.0,Fell,1886-01-01T00:00:00.000,54.81667,46.0,"[46, 54.81667]",Russia,Russia
711,Novy-Projekt,17935,Valid,OC,1001.0,Fell,1908-01-01T00:00:00.000,56.0,22.0,"[22, 56]",Lithuania,Lithuania
712,Noyan-Bogdo,17936,Valid,L6,250.0,Fell,1933-01-01T00:00:00.000,42.91667,102.46667,"[102.46667, 42.91667]",Mongolia,Mongolia
715,Numakai,17960,Valid,H4,363.0,Fell,1925-01-01T00:00:00.000,43.33333,141.86667,"[141.86667, 43.33333]",Japan,Japan
717,Nyirábrany,17970,Valid,LL5,1100.0,Fell,1914-01-01T00:00:00.000,47.55,22.025,"[22.025, 47.55]",Hungary,Hungary
719,Oesede,17988,Valid,H5,1400.0,Fell,1927-01-01T00:00:00.000,52.28333,8.05,"[8.05, 52.28333]",Germany,Germany
726,Okabe,17998,Valid,H5,194.0,Fell,1958-01-01T00:00:00.000,36.18333,139.21667,"[139.21667, 36.18333]",Japan,Japan
735,Orlando,34489,Valid,Eucrite,180.0,Fell,2004-01-01T00:00:00.000,28.5475,-81.36222,"[-81.36222, 28.5475]",United States,United States
739,Oterøy,18042,Valid,L6,246.0,Fell,1928-01-01T00:00:00.000,58.88333,9.4,"[9.4, 58.88333]",Norway,Norway
741,Ottawa,18046,Valid,LL6,840.0,Fell,1896-01-01T00:00:00.000,38.6,-95.21667,"[-95.21667, 38.6]",United States,United States
747,Oviedo,18058,Valid,H5,205.0,Fell,1856-01-01T00:00:00.000,43.4,-5.86667,"[-5.86667, 43.4]",Spain,Spain
751,Paitan,18072,Valid,H6,515.0,Fell,1910-01-01T00:00:00.000,17.74333,120.45583,"[120.45583, 17.74333]",Philippines,Philippines
753,Palca de Aparzo,18074,Valid,L5,1430.0,Fell,1988-01-01T00:00:00.000,-23.11667,-65.1,"[-65.1, -23.11667]",Argentina,Argentina
755,Palmyra,18079,Valid,L3,135.0,Fell,1926-01-01T00:00:00.000,39.8,-91.5,"[-91.5, 39.8]",United States,United States
756,Palolo Valley,18082,Valid,H5,682.0,Fell,1949-01-01T00:00:00.000,21.3,-157.78333,"[-157.78333, 21.3]",United States,United States
765,Parsa,18109,Valid,EH3,800.0,Fell,1942-01-01T00:00:00.000,26.2,85.4,"[85.4, 26.2]",India,India
769,Patti,18118,Valid,Iron,12.0,Fell,1922-01-01T00:00:00.000,38.13333,14.96667,"[14.96667, 38.13333]",Italy,Italy
780,Peramiho,18792,Valid,Eucrite-mmict,165.0,Fell,1899-01-01T00:00:00.000,-10.66667,35.5,"[35.5, -10.66667]",Tanzania,Tanzania
782,Perth,18797,Valid,LL5,2.0,Fell,1830-01-01T00:00:00.000,56.4,-3.43333,"[-3.43333, 56.4]",United Kingdom,United Kingdom
785,Pétèlkolé,18800,Valid,H5,189.0,Fell,1995-01-01T00:00:00.000,14.052,0.42,"[0.42, 14.052]",Niger,Niger
786,Petersburg,18801,Valid,Eucrite-pmict,1800.0,Fell,1855-01-01T00:00:00.000,35.3,-86.63333,"[-86.63333, 35.3]",United States,United States
789,Phu Hong,18809,Valid,H4,500.0,Fell,1887-01-01T00:00:00.000,11.25,108.58333,"[108.58333, 11.25]",Vietnam,Vietnam
796,Piquetberg,18832,Valid,H,37.0,Fell,1881-01-01T00:00:00.000,-32.86667,18.71667,"[18.71667, -32.86667]",South Africa,South Africa
797,Pirgunje,18834,Valid,L6,842.0,Fell,1882-01-01T00:00:00.000,25.8,88.45,"[88.45, 25.8]",Bangladesh,Bangladesh
798,Pirthalla,18835,Valid,H6,1161.0,Fell,1884-01-01T00:00:00.000,29.58333,76.0,"[76, 29.58333]",India,India
802,Ploschkovitz,18849,Valid,L5,39.0,Fell,1723-01-01T00:00:00.000,50.53333,14.11667,"[14.11667, 50.53333]",Czechia,Czechia
803,Pnompehn,18851,Valid,L6,96.0,Fell,1868-01-01T00:00:00.000,11.58333,104.91667,"[104.91667, 11.58333]",Cambodia,Cambodia
806,Pokhra,18858,Valid,H5,350.0,Fell,1866-01-01T00:00:00.000,26.71667,82.66667,"[82.66667, 26.71667]",India,India
808,Pontlyfni,18865,Valid,Winonaite,157.0,Fell,1931-01-01T00:00:00.000,53.03639,-4.31944,"[-4.31944, 53.03639]",United Kingdom,United Kingdom
811,Po-wang Chen,18879,Valid,LL,665.0,Fell,1933-01-01T00:00:00.000,31.41667,118.5,"[118.5, 31.41667]",China,China
814,Pricetown,18888,Valid,L6,900.0,Fell,1893-01-01T00:00:00.000,39.11667,-83.85,"[-83.85, 39.11667]",United States,United States
815,Puerto Lápice,45984,Valid,Eucrite-br,500.0,Fell,2007-01-01T00:00:00.000,39.35,-3.51667,"[-3.51667, 39.35]",Spain,Spain
816,Pulsora,18899,Valid,H5,560.0,Fell,1863-01-01T00:00:00.000,23.36667,75.18333,"[75.18333, 23.36667]",India,India
818,Punganaru,18902,Valid,Stone-uncl,100.0,Fell,1811-01-01T00:00:00.000,13.33333,78.95,"[78.95, 13.33333]",India,India
820,Qidong,18907,Valid,L/LL5,1275.0,Fell,1982-01-01T00:00:00.000,32.08333,121.5,"[121.5, 32.08333]",China,China
826,Quincay,22363,Valid,L6,65.0,Fell,1851-01-01T00:00:00.000,46.6,0.25,"[0.25, 46.6]",France,France
832,Rampurhat,22385,Valid,LL,100.0,Fell,1916-01-01T00:00:00.000,24.16667,87.76667,"[87.76667, 24.16667]",India,India
835,Rancho de la Presa,22390,Valid,H5,300.0,Fell,1899-01-01T00:00:00.000,19.86667,-100.81667,"[-100.81667, 19.86667]",Mexico,Mexico
840,Ratyn,22398,Valid,Stone-uncl,910.0,Fell,1880-01-01T00:00:00.000,52.2,17.98333,"[17.98333, 52.2]",Poland,Poland
844,Renazzo,22586,Valid,CR2,1000.0,Fell,1824-01-01T00:00:00.000,44.76667,11.28333,"[11.28333, 44.76667]",Italy,Italy
